[2025-01-25 00:11:35.920] [info]  DiscordSplash.signalReady
[2025-01-25 00:11:35.954] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-01-25 00:11:35.954] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-01-25 00:11:35.957] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-01-25 00:11:35.958] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-01-25 00:11:35.958] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-01-25 00:11:35.959] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-01-25 00:11:35.959] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-01-25 00:11:35.959] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-01-25 00:11:35.960] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-01-25 00:11:35.960] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-01-25 00:11:35.960] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-01-25 00:11:35.960] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-01-25 00:11:35.960] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-01-25 00:11:35.961] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-01-25 00:11:36.479] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-01-25 00:11:36.479] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-01-25 00:11:36.920] [info]  Splash.updateCountdownSeconds: undefined
[2025-01-25 00:11:37.195] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-01-25 00:11:37.195] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-01-25 00:11:37.204] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-01-25 00:11:37.204] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
